Day,timestamp,4_churchill_2013_0,4_churchill_2030_45,4_churchill_2030_85,5_columbus_2013_0,5_columbus_2030_45,5_columbus_2030_85,6_cullinane_2013_0,6_cullinane_2030_45,6_cullinane_2030_85,8_dana_2013_0,8_dana_2030_45,8_dana_2030_85,10_dodge_2013_0,10_dodge_2030_45,10_dodge_2030_85,12_ell_2013_0,12_ell_2030_45,12_ell_2030_85,14_forsyth_2013_0,14_forsyth_2030_45,14_forsyth_2030_85,15_hayden_2013_0,15_hayden_2030_45,15_hayden_2030_85,16_holmes_2013_0,16_holmes_2030_45,16_holmes_2030_85,17_hurtig_2013_0,17_hurtig_2030_45,17_hurtig_2030_85,21_lake_2013_0,21_lake_2030_45,21_lake_2030_85,26_power_2013_0,26_power_2030_45,26_power_2030_85,27_richards_2013_0,27_richards_2030_45,27_richards_2030_85,40_westviilageE_2013_0,40_westvillageE_2030_45,40_westvillageE_2030_85
41,1360472400,1.95707373,2.519093319,2.488496847,3.874773396,3.887897284,3.825997588,17.50069113,14.656414,14.936653,8.742763485,7.945085422,7.884755422,2.513073806,2.475163733,2.445673733,4.182942741,3.905219972,3.845699972,3.468879034,4.058463245,3.907923245,2.124498711,2.117420499,2.059220499,3.663238547,3.086814106,3.002664106,10.68744574,11.14999262,11.03533262,10.09165392,9.735870011,9.583920011,69.16430321,64.83873578,68.29740578,14.02105305,13.20620329,13.15622329,12.770589,12.7976067,12.7081167
42,1360558800,3.307254254,3.244621286,3.21028857,6.704861208,6.447319548,6.37786106,18.7941362,17.16797155,17.47623445,10.42912007,9.4049651,9.3386021,5.087882937,4.81471354,4.78227454,5.60727203,5.4848526,5.4193806,5.222034606,5.726215,5.560621,3.648580595,3.668636,3.604616,5.824169557,5.3449428,5.2523778,11.8892747,12.277484,12.151358,12.06691593,11.9722608,11.8051158,61.44272335,64.33436278,68.13889978,15.9925951,15.40730428,15.35232628,14.67250015,14.71856714,14.62012814
43,1360645200,3.406593597,3.531835801,3.434498125,6.920747914,6.737546991,6.540623223,18.12137679,17.48326059,18.35200149,10.30483533,9.614685363,9.427662363,5.189065638,5.084954479,4.993535479,5.310860952,5.578040842,5.393528842,5.439214791,6.086636753,5.619962753,3.731307411,3.902373571,3.721953571,5.948680425,5.564154567,5.303289567,11.87837816,12.46848386,12.11303786,12.80633917,12.42597867,11.95493367,54.09743255,63.8355819,74.5574589,16.35382907,15.54481566,15.38987766,14.7611433,15.23486136,14.95744236
44,1360731600,3.360657098,3.549581694,3.437630483,6.739956882,6.753623619,6.527135221,17.72229626,17.56129116,18.57015156,10.34201633,9.771812105,9.554624105,5.306584539,5.060350217,4.954186217,5.303906164,5.685501158,5.471229158,5.787431731,6.197448298,5.655504298,3.705719645,3.958013344,3.748493344,5.911772447,5.575259181,5.272319181,11.81191576,12.81376126,12.40098526,12.80458581,12.73224395,12.18522395,54.93817093,62.14595053,74.59716253,16.50170345,15.66608047,15.48615247,14.6617039,15.25419616,14.93203216
45,1360818000,3.486786229,3.489423319,3.445107891,6.836237617,6.703028104,6.6133736,17.57826283,17.43241903,17.83409493,10.53582624,9.774348205,9.687875205,5.160117093,5.351150023,5.308881023,5.41450599,5.649214563,5.563902563,5.779333938,6.107788264,5.892014264,3.667251117,3.893509523,3.810089523,5.853261749,5.49520646,5.37459146,11.92980772,12.62628246,12.46193646,12.65190159,12.49195273,12.27415773,53.38300204,61.78969475,66.74712175,16.34500468,15.52552859,15.45389059,14.58852541,15.22682699,15.09855799
46,1360904400,3.29039511,3.229920385,3.209226622,6.745660956,6.490172724,6.44830719,17.21909588,17.19471047,17.38153647,10.39936803,9.477551812,9.437331812,4.989815571,4.72101019,4.70135019,5.250519742,5.321926949,5.282246949,5.719750561,5.802727086,5.702367086,3.495133476,3.568901877,3.530101877,5.630122765,5.145286453,5.089186453,11.67336686,12.2995098,12.2230698,11.96121388,12.04951148,11.94821148,50.34405044,62.38874388,64.69452388,16.14726187,15.17874026,15.14542026,14.33703185,14.65831005,14.59865005
47,1360990800,2.253540191,2.588339903,2.605989396,3.958178448,4.023862112,4.059568786,14.99446033,15.40650695,15.24770485,9.047036583,8.107693399,8.141880399,3.696589442,3.639383821,3.656094821,4.473163941,4.469485098,4.503213098,4.3799522,4.596955303,4.682261303,2.192610291,2.219335992,2.252315992,4.300651578,3.192095121,3.239780121,11.12872467,11.40295866,11.46793266,10.49426828,10.09629507,10.18240007,54.11915988,66.22781208,64.26789908,14.45213807,13.2343191,13.2626411,13.13045139,13.57243894,13.62314994
48,1361077200,2.074754927,2.522700727,2.519758279,3.907031421,3.895195428,3.889242564,15.47631288,14.6283901,14.656414,8.758912954,7.951118422,7.945085422,3.606178479,2.478112733,2.475163733,3.910907503,3.911171972,3.905219972,3.981960021,4.073517245,4.058463245,1.9923359,2.123240499,2.117420499,4.201801054,3.095229106,3.086814106,10.91103612,11.16145862,11.14999262,9.888021872,9.751065011,9.735870011,68.42106929,64.49286878,64.83873578,14.23462218,13.21120129,13.20620329,12.79207505,12.8065557,12.7976067
49,1361163600,2.60927684,2.643716866,2.582005461,5.188743419,5.822320156,5.697471866,15.93790463,16.05821915,16.61869715,9.676114821,9.139647641,9.018987641,4.295310863,4.248627015,4.189647015,4.929562897,5.310983752,5.191943752,4.983130987,5.386513242,5.085433242,2.539692727,3.167032293,3.050632293,4.795416726,4.933212512,4.764912512,11.23119809,12.18668249,11.95736249,10.41051891,11.53364159,11.22974159,73.28437114,62.41596005,69.33330005,15.35870806,15.01512013,14.91516013,13.76055419,13.8202178,13.6412378
50,1361250000,3.79028983,3.545781259,3.488025327,6.787126001,6.765760035,6.648914059,18.41614095,17.35248239,17.87559519,10.48351224,9.642839363,9.530223363,4.990696996,5.098716479,5.043668479,5.283350977,5.605816842,5.494712842,6.016131874,6.156888753,5.875880753,3.676897468,3.929533571,3.820893571,5.977040014,5.603424567,5.446344567,11.91491952,12.52199186,12.30795986,11.98075815,12.49688867,12.21324867,55.1299767,62.2215359,68.6777199,16.15167766,15.56813966,15.47484366,15.04580922,15.27662336,15.10957536
51,1361336400,3.411862653,3.529652635,3.484579776,6.500670403,6.713305157,6.622118295,18.10495751,17.73877586,18.14979306,10.53432658,9.733603105,9.645119105,5.241349604,5.041673217,4.998421217,5.365676892,5.647805158,5.560509158,6.636750851,6.102106298,5.881314298,3.658664072,3.921153344,3.835793344,6.017909882,5.521964181,5.398544181,11.91396837,12.74114326,12.57297526,12.58321934,12.63600895,12.41314895,59.40497901,64.33644153,69.40915753,16.36759578,15.63442647,15.56112247,14.84460556,15.19751916,15.06626716
52,1361422800,3.311229572,3.452209456,3.446485605,6.672830265,6.62774077,6.616160852,18.36772601,17.76870583,17.81541233,10.53171634,9.701952205,9.691897205,5.184550658,5.315762023,5.310847023,5.500172482,5.577790563,5.567870563,6.495537698,5.927140264,5.902050264,3.628520391,3.823669523,3.813969523,5.893956493,5.39422646,5.38020146,11.7939692,12.48869046,12.46958046,12.75704272,12.30961273,12.28428773,67.85006191,65.94009875,66.51654375,16.4267304,15.46555259,15.45722259,14.80909969,15.11943899,15.10452399
53,1361509200,3.438199518,3.191639469,3.222941422,6.398926543,6.412726636,6.47605359,17.94470746,17.54033857,17.26009957,10.43584504,9.403144812,9.463474812,4.779432067,4.68463919,4.71412919,5.266252735,5.248518949,5.308038949,6.421579852,5.617061086,5.767601086,3.499928211,3.497121877,3.555321877,5.652021444,5.041501453,5.125651453,11.87758685,12.1580958,12.2727558,12.72077369,11.86210648,12.01405648,61.42308093,66.65443688,63.19576688,16.15486486,15.11709826,15.16707826,14.26826105,14.54793905,14.63742905
54,1361595600,2.327307742,2.613841119,2.637471096,4.154710201,4.0754536,4.123259386,15.75399907,15.18231575,14.96746585,9.016744038,8.155957399,8.202210399,3.852357745,3.662975821,3.685584821,4.325592338,4.517101098,4.562733098,5.485870646,4.717387303,4.832801303,2.151818612,2.265895992,2.310515992,3.821710055,3.259415121,3.323930121,10.61074448,11.49468666,11.58259266,11.03441188,10.21785507,10.33435007,55.27879533,63.46087608,60.80922908,14.05643494,13.2743031,13.3126211,13.61555676,13.64403094,13.71263994
55,1361682000,2.209866778,1.551863561,1.509693668,3.845268429,4.053987042,3.968673168,15.5014362,14.30950679,14.69250009,8.789449813,7.844963001,7.762512001,2.568171107,2.875568661,2.835265661,3.682600178,3.952224716,3.870880716,5.189602076,4.464326831,4.258588831,2.065682457,2.259810315,2.180270315,3.715879671,3.397067019,3.282062019,10.43289511,11.32335492,11.16665292,10.52106055,9.944783494,9.737118494,53.50864653,59.1381038,63.8649528,14.06178465,13.54606205,13.47775605,12.82018058,12.78512646,12.66282346
56,1361768400,3.490867892,2.667293854,2.621965401,6.733111161,5.87001874,5.778314786,17.86778522,15.85271055,16.25438645,10.54628349,9.183889641,9.097416641,5.090588413,4.270253015,4.227984015,5.399765286,5.354631752,5.269319752,6.491764505,5.496909242,5.281135242,3.643751186,3.209712293,3.126292293,5.958103267,4.994922512,4.874307512,11.70853783,12.27076649,12.10642049,12.84428468,11.64507159,11.42727659,56.1972631,59.87960205,64.83702905,16.14414767,15.05177213,14.98013413,14.26815356,13.8858438,13.7575748
57,1361854800,3.913928649,3.499178739,3.448320728,6.823155655,6.473941952,6.371051154,17.59198907,17.03171133,17.48943503,10.24191448,9.680054537,9.581515537,5.261138258,4.829359249,4.781192249,5.320296949,5.362567752,5.265351752,6.602449448,6.210703554,5.964821554,3.818223923,3.734544115,3.639484115,6.055358994,5.147140528,5.009695528,11.99274538,12.58063789,12.39335989,12.88331045,12.17315293,11.92496793,55.38550502,59.84604875,65.49520975,16.28375144,15.32249889,15.24086489,14.70187404,14.48810314,14.34193614
